Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
IR62266-42-6-2 CX234,,Indica,Cultivar,,?,[+],[-],[-],[-],[-],?,[-],[-]
IR64A CX403,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR65600-27-1-2-2 CX117,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR66897B CX43,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR68 CX278,,Indica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
IR68552-55-3-2 CX42,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR71466-75-3-B-1 CX124,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR8192-200-3-3-1-1 CX276,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
IRBB62,,Indica,Cultivar,,[+],[-],[+],[-],[+],[-],?,[-],[-]
IRBB64,,Indica,Cultivar,,[+],[+],[+],[-],[+],[-],[+],[-],[-]
IRBB7,,Indica,Cultivar,,?,[-],[+],[-],[-],[-],[-],[-],[-]
IRRI139-5,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Makassane,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],[+],[-],[-]
Sri Lanka 1 B013,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Tadukan GB,,Indica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
TKM9 CX235,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
Vandana-Arvind,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
WayRarem-Arvind,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],?,[-],[-]
Aomierte 168 B016,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Banjiemang 2 B230,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Binam CX67,,Japonica,Cultivar,,[-],[-],?,[-],[-],[-],[+],[-],[-]
Cypress IRIS_313-15910,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Dasan,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],[-],[-],[-]
Drew IRIS_313-8183,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
GalsaegSsal-Sharei IRIS_313-10124,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
GIZA159 CX58,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
Giza178 IRIS_313-8212,,Japonica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IAC165 CX269,,Japonica,Cultivar,,?,[-],?,[-],[-],[-],[+],[-],[-]
