id,databasecode,samplecode,isolatename,district,province,country,latitude,longitude,year,ricevarsource,ricegrowthstage,percdiseasedleaf,institute,sampletype,runcode,lineage,AxooPopn
4126,XO2023-00398,XO2023-00398,PRRI_102023_0159,Culasi,Antique,Philippines,11.170507,122.083333,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4127,XO2023-00399,XO2023-00399,PRRI_102023_0160,Badiangan,Iloilo,Philippines,10.952217,122.579946,2023,NSIC Rc 480,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4128,XO2023-00400,XO2023-00400,PRRI_102023_0161,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 508,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4129,XO2023-00401,XO2023-00401,PRRI_102023_0162,Catarman,Northern Samar,Philippines,12.42,124.81,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4130,XO2023-00402,XO2023-00402,PRRI_102023_0163,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4131,XO2023-00403,XO2023-00403,PRRI_102023_0164,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Ph82,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4132,XO2023-00404,XO2023-00404,PRRI_102023_0165,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Longping,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4133,XO2023-00405,XO2023-00405,PRRI_102023_0166,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,Pioneer,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_02,Axoo_04
4134,XO2023-00406,XO2023-00406,PRRI_102023_0167,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Xoc,Xoc
4135,XO2023-00407,XO2023-00407,PRRI_102023_0168,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4136,XO2023-00408,XO2023-00408,PRRI_102023_0169,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4137,XO2023-00409,XO2023-00409,PRRI_102023_0170,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4138,XO2023-00410,XO2023-00410,PRRI_102023_0171,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4139,XO2023-00411,XO2023-00411,PRRI_102023_0172,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4140,XO2023-00412,XO2023-00412,PRRI_102023_0173,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4141,XO2023-00413,XO2023-00413,PRRI_102023_0174,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4142,XO2023-00414,XO2023-00414,PRRI_102023_0175,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4143,XO2023-00415,XO2023-00415,PRRI_102023_0176,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4144,XO2023-00416,XO2023-00416,PRRI_102023_0177,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4145,XO2023-00417,XO2023-00417,PRRI_102023_0178,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4146,XO2023-00418,XO2023-00418,PRRI_102023_0179,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4147,XO2023-00419,XO2023-00419,PRRI_102023_0180,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4148,XO2023-00420,XO2023-00420,PRRI_102023_0181,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4149,XO2023-00421,XO2023-00421,PRRI_102023_0182,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4150,XO2023-00422,XO2023-00422,PRRI_102023_0183,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_01,L1_Unresolved
4151,XO2023-00423,XO2023-00423,PRRI_102023_0184,Mayorga,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 222,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4152,XO2023-00424,XO2023-00424,PRRI_102023_0185,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,NA,NA
4153,XO2023-00425,XO2023-00425,PRRI_102023_0186,Burauen,Leyte,Philippines,10.784116,124.892321,2023,NSIC Rc 216,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4154,XO2023-00426,XO2023-00426,PRRI_102023_0187,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
4155,XO2023-00427,XO2023-00427,PRRI_102023_0188,Burauen,Leyte,Philippines,10.784116,124.892321,2023,SL19,NA,NA,Philippine Rice Research Institute,Leaf,GSL2023-00106,Lineage_03,Axoo_12
