vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_02426,Xo2021-2-40,BXo 2640,BXo 2640,Elenga,Dhaka,Bangladesh,2019.0,BRRI dhan75,Reproductive stage,0.85,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo7,,
VCE_02435,Xo2021-2-41,BXo 2641,BXo 2641,Elenga,Dhaka,Bangladesh,2019.0,BR10,Reproductive stage,0.95,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02736,Xo2021-2-603,PAK XOO27,Xoo F2,Faisalabad,Punjab,Pakistan,,Var. F5-18 SK,,,National Institute for Biotechnology and Genetic Engineering,DNA,XO2021-2,,,,
VCE_02735,Xo2021-2-602,PAK XOO26,Xoo F3,Faisalabad,Punjab,Pakistan,,Variety DB1,,,National Institute for Biotechnology and Genetic Engineering,DNA,XO2021-2,Lin_3,AXoo12,,
VCE_02777,Xo2021-2-667,PAK XOO90,XooF1,Faisalabad,Punjab,Pakistan,,,,,National Institute for Biotechnology and Genetic Engineering,DNA,XO2021-2,,,,
VCE_02751,Xo2021-2-617,PAK XOO41,XooF2,Faisalabad,Punjab,Pakistan,,,,,National Institute for Biotechnology and Genetic Engineering,DNA,XO2021-2,,,,
VCE_02750,Xo2021-2-616,PAK XOO40,XooF3,Faisalabad,Punjab,Pakistan,,,,,National Institute for Biotechnology and Genetic Engineering,DNA,XO2021-2,Lin_2,,,
VCE_02302,Xo2021-2-225,BXo 2421,BXo 2421,Fakirhat,Khulna,Bangladesh,2019.0,BRRI dhan49,Reproductive stage,0.9,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02303,Xo2021-2-226,BXo 2422,BXo 2422,Fakirhat,Khulna,Bangladesh,2019.0,BRRI dhan48,Reproductive stage,0.95,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
VCE_02304,Xo2021-2-227,BXo 2423,BXo 2423,Fakirhat,Khulna,Bangladesh,2019.0,BRRI dhan49,Reproductive stage,0.65,Bangladesh Rice Research Institute,Leaf,XO2021-2,Lin_2,AXoo9,,
